"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"deldir","deldir","/usr/local/lib/R/site-library","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"dendextend","dendextend","/usr/local/lib/R/site-library","1.15.2",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"desc","desc","/usr/local/lib/R/site-library","1.4.0",NA,"R (>= 3.1.0)","utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr, spelling, gh",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DESeq2","DESeq2","/usr/local/lib/R/site-library","1.32.0",NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, stats4, locfit, geneplotter, ggplot2, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"devtools","devtools","/usr/local/lib/R/site-library","2.4.2",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dichromat","dichromat","/usr/local/lib/R/site-library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"diffobj","diffobj","/usr/local/lib/R/site-library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"digest","digest","/usr/local/lib/R/site-library","0.6.28",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"distill","distill","/usr/local/lib/R/site-library","1.3",NA,NA,"utils, stats, tools, rmarkdown (>= 2.11), bookdown (>= 0.8),
xfun (>= 0.2), htmltools, jsonlite (>= 1.3), lubridate (>=
1.7.10), png, mime, rstudioapi, rprojroot, xml2, base64enc,
whisker, stringr, knitr (>= 1.15.6), digest, yaml, openssl,
downlit (>= 0.2)",NA,"htmlwidgets, progress, r2d3, DiagrammeR, shiny, rsconnect,
testthat (>= 3.0.0), withr",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.0"
"dittoSeq","dittoSeq","/usr/local/lib/R/site-library","1.9.0",NA,"ggplot2","methods, colorspace (>= 1.4), gridExtra, cowplot, reshape2,
pheatmap, grDevices, ggrepel, ggridges, stats, utils,
SummarizedExperiment, SingleCellExperiment, S4Vectors",NA,"plotly, testthat, Seurat (>= 2.2), DESeq2, edgeR,
ggplot.multistats, knitr, rmarkdown, BiocStyle, scRNAseq,
ggrastr (>= 0.2.0), ComplexHeatmap, bluster, scater, scran",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"DO.db","DO.db","/usr/local/lib/R/site-library","2.9",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.9.7)","methods, AnnotationDbi",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"docopt","docopt","/usr/local/lib/R/site-library","0.7.1",NA,NA,"methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"doMC","doMC","/usr/local/lib/R/site-library","1.3.7",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel","utils",NA,NA,"compiler, RUnit","GPL-2",NA,NA,"unix",NA,"no","4.1.0"
"doParallel","doParallel","/usr/local/lib/R/site-library","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.1.0"
"doRNG","doRNG","/usr/local/lib/R/site-library","1.8.2",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
bibtex, testthat, pkgmaker (>= 0.31)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"DOSE","DOSE","/usr/local/lib/R/site-library","3.20.1",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, DO.db, fgsea, ggplot2, GOSemSim
(>= 2.0.0), methods, qvalue, reshape2, stats, utils",NA,"prettydoc, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"downlit","downlit","/usr/local/lib/R/site-library","0.2.1",NA,"R (>= 3.2.0)","brio, digest, evaluate, fansi, rlang, vctrs, yaml",NA,"rmarkdown, jsonlite, MASS, testthat (>= 3.0.0), covr,
pkgload, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"downloader","downloader","/usr/local/lib/R/site-library","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"dplyr","dplyr","/usr/local/lib/R/site-library","1.0.7",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"dqrng","dqrng","/usr/local/lib/R/site-library","0.3.0",NA,"R (>= 3.1.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"DT","DT","/usr/local/lib/R/site-library","0.19",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dtplyr","dtplyr","/usr/local/lib/R/site-library","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"duckdb","duckdb","/usr/local/lib/R/site-library","0.3.0",NA,"DBI, R (>= 3.6.0)","methods, utils",NA,"arrow, callr, DBItest, dplyr, dbplyr, nycflights13, testthat,
withr",NA,"MPL",NA,NA,NA,NA,"yes","4.1.0"
"dyndimred","dyndimred","/usr/local/lib/R/site-library","1.0.4",NA,NA,"dynutils (>= 1.0.5), irlba, lmds, stats, tibble",NA,"testthat, diffusionMap, fastICA, igraph, lle, MASS, Matrix,
RANN, Rtsne, smacof, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dynfeature","dynfeature","/usr/local/lib/R/site-library","1.0.0",NA,"R (>= 3.5.0)","dplyr, dynutils (>= 1.0.2), dynwrap (>= 1.0.0), purrr,
methods, ranger, reshape2, testthat, tibble",NA,"caret, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dynguidelines","dynguidelines","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 3.3)","akima, colorspace, crayon, dplyr, dynutils (>= 1.0.2), dynwrap
(>= 1.0.0), glue, grDevices, htmltools, knitr, purrr, shiny (>=
1.2.0), shinyjs, shinyWidgets, stringr, tibble, tidyr, utils,
VGAM, viridis",NA,"shinytest, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dynmethods","dynmethods","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 3.4.0)","dynwrap (>= 1.0.0), crayon, devtools, purrr, glue, remotes,",NA,"dplyr, dynutils, knitr, testthat, tibble",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"dyno","dyno","/usr/local/lib/R/site-library","0.1.2",NA,"R (>= 3.4.0), dynfeature (>= 1.0.0), dynguidelines (>= 1.0.0),
dynmethods (>= 1.0.1), dynplot (>= 1.0.0), dynwrap (>= 1.0.1)",NA,NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dynparam","dynparam","/usr/local/lib/R/site-library","1.0.2",NA,"R (>= 3.0.0)","assertthat, carrier, dplyr, dynutils (>= 1.0.2), magrittr,
purrr, stringr, tibble, tidyr",NA,"lhs, ParamHelpers, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dynplot","dynplot","/usr/local/lib/R/site-library","1.1.2",NA,"R (>= 3.0.0)","assertthat, dplyr, dynutils (>= 1.0.2), dynfeature (>= 1.0.0),
dyndimred (>= 1.0.0), dynwrap (>= 1.0.0), GA, ggforce, ggplot2
(>= 3.0), ggraph (>= 2.0), ggrepel, igraph, MASS, methods,
patchwork, purrr, reshape2, tibble, tidyr, tidygraph, vipor",NA,"covr, hexbin, knitr, RColorBrewer, rje, rmarkdown, testthat
(>= 3.0.0), uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dynutils","dynutils","/usr/local/lib/R/site-library","1.0.9",NA,"R (>= 3.0.0)","assertthat, crayon, desc, dplyr, magrittr, Matrix, methods,
proxyC, purrr, Rcpp, remotes, stringr, tibble","Rcpp","covr, ggplot2, hdf5r (>= 1.3.4), knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"dynwrap","dynwrap","/usr/local/lib/R/site-library","1.2.2",NA,"R (>= 3.0.0)","assertthat, babelwhale, crayon, dplyr, dynutils (>= 1.0.3),
dynparam, igraph, glue, magrittr, Matrix, methods, purrr,
processx, readr, stringr, reshape2, tibble, tidyr, yaml",NA,"dyndimred, hdf5r, knitr, pkgload, ranger, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"e1071","e1071","/usr/local/lib/R/site-library","1.7-9",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"edgeR","edgeR","/usr/local/lib/R/site-library","3.36.0",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.1.1"
"ellipse","ellipse","/usr/local/lib/R/site-library","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ellipsis","ellipsis","/usr/local/lib/R/site-library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"enrichplot","enrichplot","/usr/local/lib/R/site-library","1.14.2",NA,"R (>= 3.5.0)","aplot, DOSE (>= 3.16.0), ggplot2, ggraph, graphics, grid,
igraph, methods, plyr, purrr, RColorBrewer, reshape2, stats,
utils, scatterpie, shadowtext, GOSemSim, magrittr, ggtree,
yulab.utils (>= 0.0.4)",NA,"clusterProfiler, dplyr, europepmc, ggupset, knitr, rmarkdown,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggnewscale, ggrepel
(>= 0.9.0), ggstar, treeio, scales, tidytree, ggtreeExtra",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"entropy","entropy","/usr/local/lib/R/site-library","1.3.1",NA,"R (>= 3.0.2)",NA,NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"evaluate","evaluate","/usr/local/lib/R/site-library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"evd","evd","/usr/local/lib/R/site-library","2.3-3",NA,NA,"stats, grDevices, graphics",NA,"akima",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"evmix","evmix","/usr/local/lib/R/site-library","2.12",NA,"stats, graphics, MASS, splines, gsl, SparseM, grDevices",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ExperimentHub","ExperimentHub","/usr/local/lib/R/site-library","2.2.1",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 2.19.3),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, curl, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"expm","expm","/usr/local/lib/R/site-library","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"extrafont","extrafont","/usr/local/lib/R/site-library","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"extrafontdb","extrafontdb","/usr/local/lib/R/site-library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"factoextra","factoextra","/usr/local/lib/R/site-library","1.0.7",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"FactoMineR","FactoMineR","/usr/local/lib/R/site-library","2.4",NA,"R (>= 3.5.0)","car,cluster,DT,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"fansi","fansi","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"farver","farver","/usr/local/lib/R/site-library","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmap","fastmap","/usr/local/lib/R/site-library","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmatch","fastmatch","/usr/local/lib/R/site-library","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"feather","feather","/usr/local/lib/R/site-library","0.3.5",NA,NA,"Rcpp, tibble (>= 2.0.0), hms","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.1.0"
"fgsea","fgsea","/usr/local/lib/R/site-library","1.20.0",NA,"R (>= 3.3)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.1.1"
"filelock","filelock","/usr/local/lib/R/site-library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fishpond","fishpond","/usr/local/lib/R/site-library","1.8.0",NA,NA,"graphics, stats, utils, methods, abind, gtools, qvalue,
S4Vectors, SummarizedExperiment, matrixStats, svMisc, Rcpp,
Matrix","Rcpp","testthat, knitr, rmarkdown, macrophage, tximeta,
org.Hs.eg.db, samr, DESeq2, apeglm, tximportData,
SingleCellExperiment, limma",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"fitdistrplus","fitdistrplus","/usr/local/lib/R/site-library","1.1-6",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"flashClust","flashClust","/usr/local/lib/R/site-library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.0"
"flexmix","flexmix","/usr/local/lib/R/site-library","2.3-17",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"FNN","FNN","/usr/local/lib/R/site-library","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"fontawesome","fontawesome","/usr/local/lib/R/site-library","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"forcats","forcats","/usr/local/lib/R/site-library","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"foreach","foreach","/usr/local/lib/R/site-library","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.0"
"formatR","formatR","/usr/local/lib/R/site-library","1.11",NA,"R (>= 3.2.3)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"formattable","formattable","/usr/local/lib/R/site-library","0.2.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"Formula","Formula","/usr/local/lib/R/site-library","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fs","fs","/usr/local/lib/R/site-library","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"fst","fst","/usr/local/lib/R/site-library","0.9.4",NA,"R (>= 3.0.0)","Rcpp","Rcpp","testthat, bit64, data.table, lintr, nanotime, crayon",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"furrr","furrr","/usr/local/lib/R/site-library","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"futile.logger","futile.logger","/usr/local/lib/R/site-library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"futile.options","futile.options","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"future","future","/usr/local/lib/R/site-library","1.22.1",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"future.apply","future.apply","/usr/local/lib/R/site-library","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"GA","GA","/usr/local/lib/R/site-library","3.2.2",NA,"R (>= 3.4), methods, foreach, iterators","stats, graphics, grDevices, utils, cli, crayon, Rcpp","Rcpp, RcppArmadillo","parallel, doParallel, doRNG (>= 1.6), knitr (>= 1.8),
rmarkdown (>= 2.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"gargle","gargle","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gdata","gdata","/usr/local/lib/R/site-library","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"genefilter","genefilter","/usr/local/lib/R/site-library","1.74.1",NA,NA,"BiocGenerics, AnnotationDbi, annotate, Biobase, graphics,
methods, stats, survival, grDevices",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"geneplotter","geneplotter","/usr/local/lib/R/site-library","1.70.0",NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"generics","generics","/usr/local/lib/R/site-library","0.1.1",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"GenomeInfoDb","GenomeInfoDb","/usr/local/lib/R/site-library","1.30.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"GenomeInfoDbData","GenomeInfoDbData","/usr/local/lib/R/site-library","1.2.7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"GenomicRanges","GenomicRanges","/usr/local/lib/R/site-library","1.46.1",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"gert","gert","/usr/local/lib/R/site-library","1.4.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"GetoptLong","GetoptLong","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 3.3.0)","rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
